stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
MNBRDY:1,,Main & Brady (North Side),,40.11246490478516,-88.17043304443358,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnbrdy,0,
MYNRDCMRN:2,,Maynard & Cameron (SE Corner),,40.09774833,-88.29811667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mynrdcmrn,0,
MKTPLCNE:2,,Market Place Northeast (South Side),,40.1424333333,-88.2399333333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktplcne,0,
MKTMKTV:4,,Market & Marketview (NW Corner),,40.13826833,-88.23903667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktkntv,0,
SOLO:1,,Solo Cup (West Side),,40.111179,-88.188819,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/solo,0,
CMBLDBNS:2,,Campbell & Dobbins (SE Corner),,40.14155667,-88.26957,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cmbldbns,0,
CRSNTGRNDL:2,,Crescent & Greendale (SE Corner),,40.10015333,-88.28140833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crsntgrndl,0,
PSPCTASRC:4,,Prospect & Ayrshire Cir. (West Side),,40.09065167,-88.25766333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctasrc,0,
BDMRLCNPL:2,,Broadmoor & Lincoln Pl. (SE Corner),,40.09392167,-88.26408167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bdmrlcnpl,0,
MNCTGRV:6,,Main & Cottage Grove (SW Corner),,40.112918,-88.19552299999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnctgrv,0,
MKTRPR:2,,Market & Roper (SE Corner),,40.13029,-88.23882333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktrpr,0,
VINGRN:6,,Vine & Green (SE Far Side),,40.11074700000001,-88.204477,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vingrn,0,
PKRMN:1,,Park & Romine (North Side),,40.11741,-88.22701499999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pkrmn,0,
IETCMATS:3,,I.E.T.C. and Mattis (SW Corner),,40.13090833,-88.27721167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ietcmats,0,
JOHNHILND:1,,John & Highland (NE Corner),,40.10905000000001,-88.25892167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnhilnd,0,
GRN6TH:1,,Green & Sixth (NE Corner),,40.11034667,-88.23019167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grn6th,0,
BRWSWDFLD:2,,Burwash & Woodfield (SE Corner),,40.07407833,-88.24970833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/brwswdfld,0,
LNCLNHIL:4,,Lincoln & Hill (NW Corner),,40.11926,-88.21952333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lnclnhil,0,
CPRRDGCPR:1,,Copper Ridge & Copper (NE Corner),,40.08475333,-88.31767333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cprrdgcpr,0,
MCRTRCT:2,,MacArthur & MacArthur Ct. (SE Corner),,40.10677333000001,-88.171065,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mcrtrct,0,
KBYNEIL:3,,Kirby & Neil (SW Corner),,40.097989,-88.244971,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbyneil,0,
LNCLNKLRNY:1,,Lincoln & Killarney (NE Corner),,40.132354,-88.218639,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lnclnklrny,0,
INVPSTWK:3,,Inverness and Prestwick Pt (SW Corner),,40.10677337646485,-88.312255859375,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/invpstwk,0,
PMNASTANA:4,,Pomona & Santa Ana (NW Corner),,40.12410833,-88.29346332999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pmnastana,0,
LWNDLCENT:1,,Lawndale & Centennial (NE Corner),,40.09991667,-88.29074333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lwndlcent,0,
FRLN:1,,Fairlawn (South Side),,40.10373833,-88.20257333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/frln,0,
SPFLDEDWN:3,,Springfield & Edwin (SW Corner),,40.11270167,-88.26623333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldedwn,0,
PAKNCH:2,,Penn & Kinch (SE Corner),,40.10096833,-88.181325,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/paknch,0,
WASHTIM:1,,Washington & Timothy Tr. (North Side),,40.10578833000001,-88.178015,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/washtim,0,
STETRMNT:4,,State & Tremont (NW Corner),,40.12468667000001,-88.24693333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stetrmnt,0,
CROLKER:1,,Carroll & Kerr (NE Corner),,40.122113,-88.19455,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crolker,0,
PSPCTCLMBA:4,,Prospect & Columbia (NW Corner),,40.12136833000001,-88.25798666999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctclmba,0,
KBYWSFLD:1,,Kirby & Westfield (NE Corner),,40.09847167,-88.28978832999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbywsfld,0,
RMNEADS:2,,Romine & Eads (SE Corner),,40.123,-88.22714,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/rmneads,0,
