route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/4__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][2][1238529695031]/24__I1LIM,SOUTH - CAMPUS,1,I1LIM,ILLINI 845 315
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/5__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][2][1238529695031]/25__I1LIM,SOUTH - CAMPUS,1,I1LIM,ILLINI 845 315
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/6__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][2][1238529695031]/26__I1LIM,SOUTH - CAMPUS,1,I1LIM,ILLINI 845 315
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/7__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][2][1238529695031]/27__I1LIM,SOUTH - CAMPUS,1,I1LIM,ILLINI 845 315
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/8__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][2][1238529695031]/28__I1LIM,SOUTH - CAMPUS,1,I1LIM,ILLINI 845 315
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/9__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][2][1238529695031]/29__I1LIM,SOUTH - CAMPUS,1,I1LIM,ILLINI 845 315
ILLINI LIMITED EVENING,I1LIM,[@7.0.41677083@][1][1238529565531]/10__I1LIM,NORTH - NORTH LINCOLN,0,I1LIM,22N 316
GOLD,G3MF,[@7.0.41203042@][4][1248902015375]/0__G3MF,WEST - OLD FARM,1,G3MF,GOLD 46
GOLD,G3MF,[@7.0.41203042@][3][1246643389171]/0__G3MF,EAST - RICHARDSON ESTATES,0,G3MF,GOLD 24
GOLD,G3MF,[@7.0.41203042@][4][1246654890250]/3__G3MF,WEST - OLD FARM,1,G3MF,GOLD 424
GOLD,G3MF,[@7.0.41203042@][3][1246636739609]/1__G3MF,EAST - RICHARDSON ESTATES,0,G3MF,10E
GOLD,G3MF,[@7.0.41203042@][4][1246645746531]/0__G3MF,WEST - LOT E-14,1,G3MF,GOLD 553
GOLDHOPPER,G3MF,[@14.0.56289113@][4][1303767496742]/9__G3MF,WEST - GOLDHOPPER,1,G3MF,GOLDHOPPER 1
GOLDHOPPER,G3MF,[@7.0.41987615@][3][1246632955750]/32__G3MF,EAST - GOLDHOPPER,0,G3MF,GOLDHOPPER 2
GOLD,G3MF,[@7.0.41203042@][4][1246652832718]/10__G3MF,WEST - OLD FARM,1,G3MF,GOLD 425
GOLD,G3MF,[@7.0.41203042@][3][1246636917359]/5__G3MF,EAST - LINCOLN SQUARE ,0,G3MF,GOLD 161
GOLDHOPPER,G3MF,[@14.0.56289113@][3][1303767339853]/3__G3MF,EAST - GOLDHOPPER,0,G3MF,GOLDHOPPER 2
GOLDHOPPER,G3MF,[@7.0.41987615@][4][1246632518062]/6__G3MF,WEST - GOLDHOPPER,1,G3MF,GOLDHOPPER 1
GOLDHOPPER,G3MF,[@7.0.41987615@][3][1246632955750]/37__G3MF,EAST - GOLDHOPPER,0,G3MF,GOLDHOPPER 2
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/78__G3MF,SOUTH - PAR,1,G3MF,SILVER 120
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/42__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 2
GOLDHOPPER,G3MF,[@7.0.41987615@][4][1246632518062]/8__G3MF,WEST - GOLDHOPPER,1,G3MF,GOLDHOPPER 1
GOLDHOPPER,G3MF,[@7.0.41987615@][3][1246633033359]/41__G3MF,EAST - GOLDHOPPER,0,G3MF,GOLDHOPPER 2
GOLD,G3MF,[@7.0.41203042@][4][1246652832718]/15__G3MF,WEST - OLD FARM,1,G3MF,10WLSG->
GOLD,G3MF,[@7.0.41203042@][3][1246636917359]/8__G3MF,EAST - LINCOLN SQUARE ,0,G3MF,GOLD 422
GOLDHOPPER,G3MF,[@14.0.56289113@][3][1303767339853]/6__G3MF,EAST - GOLDHOPPER,0,G3MF,GOLDHOPPER 2
GOLDHOPPER,G3MF,[@7.0.41987615@][4][1248899521703]/0__G3MF,WEST - GOLDHOPPER,1,G3MF,GOLDHOPPER 1
